topic,package,namespace,index
lsst.sal.ATAOS.logevent_softwareVersions,ts_ataos,auxtel,"[0]"
lsst.sal.ATBuilding.logevent_softwareVersions,ts_atbuilding,auxtel,"[0]"
lsst.sal.ATCamera.logevent_softwareVersions,CYCLE,auxtel,"[0]"
lsst.sal.ATDome.logevent_softwareVersions,ts_atdome,auxtel,"[0]"
lsst.sal.ATDomeTrajectory.logevent_softwareVersions,ts_atdometrajectory,auxtel,"[0]"
lsst.sal.ATHeaderService.logevent_softwareVersions,headerservice,auxtel,"[0]"
lsst.sal.ATHexapod.logevent_softwareVersions,ts_athexapod,auxtel,"[0]"
lsst.sal.ATMCS.logevent_softwareVersions,ts_atmcssimulator,auxtel,"[0]"
lsst.sal.ATMonochromator.logevent_softwareVersions,ts_atmonochromator,auxtel,"[0]"
lsst.sal.ATOODS.logevent_softwareVersions,oods,auxtel,"[0]"
lsst.sal.ATPneumatics.logevent_softwareVersions,ts_atpneumaticssimulator,auxtel,"[0]"
lsst.sal.ATPtg.logevent_softwareVersions,ts_pointing_common,auxtel,"[0]"
lsst.sal.ATSpectrograph.logevent_softwareVersions,ts_atspec,auxtel,"[0]"
lsst.sal.ATWhiteLight.logevent_softwareVersions,ts_atwhitelight,auxtel,"[0]"
lsst.sal.CBP.logevent_softwareVersions,ts_cbp,calsys,"[0]"
lsst.sal.CCCamera.logevent_softwareVersions,CYCLE,simonyitel,"[0]"
lsst.sal.CCHeaderService.logevent_softwareVersions,headerservice,simonyitel,"[0]"
lsst.sal.CCOODS.logevent_softwareVersions,oods,simonyitel,"[0]"
lsst.sal.DIMM.logevent_softwareVersions,ts_dimm,envsys,"[1,2]"
lsst.sal.DREAM.logevent_softwareVersions,ts_dream,envsys,"[0]"
lsst.sal.DSM.logevent_softwareVersions,ts_dsm,envsys,"[1,2]"
lsst.sal.EAS.logevent_softwareVersions,ts_eas,envsys,"[0]"
lsst.sal.ESS.logevent_softwareVersions,ts_ess_common,envsys,"[1,2,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,201,202,203,204,301,303,304,305,306]"
lsst.sal.Electrometer.logevent_softwareVersions,ts_electrometer,calsys,"[101,102,103]"
lsst.sal.FiberSpectrograph.logevent_softwareVersions,ts_fiberspectrograph,calsys,"[101,102]"
lsst.sal.GCHeaderService.logevent_softwareVersions,headerservice,calsys,"[1,101,102,103]"
lsst.sal.GIS.logevent_softwareVersions,ts_gis,obssys,"[0]"
lsst.sal.GenericCamera.logevent_softwareVersions,ts_genericcamera,calsys,"[1,101,102,103]"
lsst.sal.HVAC.logevent_softwareVersions,ts_hvac,envsys,"[0]"
lsst.sal.LEDProjector.logevent_softwareVersions,ts_ledprojector,calsys,"[0]"
lsst.sal.LaserTracker.logevent_softwareVersions,ts_lasertracker,calsys,"[1]"
lsst.sal.LinearStage.logevent_softwareVersions,ts_linearstage,calsys,"[101,102,103,104]"
lsst.sal.MTAOS.logevent_softwareVersions,ts_mtaos,simonyitel,"[0]"
lsst.sal.MTAirCompressor.logevent_softwareVersions,ts_mtaircompressor,simonyitel,"[1,2]"
lsst.sal.MTCamera.logevent_softwareVersions,CYCLE,simonyitel,"[0]"
lsst.sal.MTDome.logevent_softwareVersions,ts_mtdome,simonyitel,"[0]"
lsst.sal.MTDomeTrajectory.logevent_softwareVersions,ts_mtdometrajectory,simonyitel,"[0]"
lsst.sal.MTHeaderService.logevent_softwareVersions,headerservice,simonyitel,"[0]"
lsst.sal.MTHexapod.logevent_softwareVersions,ts_mthexapod,simonyitel,"[1,2]"
lsst.sal.MTM1M3.logevent_softwareVersions,ts_m1m3support,simonyitel,"[0]"
lsst.sal.MTM1M3TS.logevent_softwareVersions,ts_m1m3thermal,simonyitel,"[0]"
lsst.sal.MTM2.logevent_softwareVersions,ts_m2,simonyitel,"[0]"
lsst.sal.MTMount.logevent_softwareVersions,ts_mtmount,simonyitel,"[0]"
lsst.sal.MTOODS.logevent_softwareVersions,oods,simonyitel,"[0]"
lsst.sal.MTPtg.logevent_softwareVersions,ts_pointing_common,simonyitel,"[0]"
lsst.sal.MTReflector.logevent_softwareVersions,ts_mtreflector,calsys,"[0]"
lsst.sal.MTRotator.logevent_softwareVersions,ts_mtrotator,simonyitel,"[0]"
lsst.sal.MTVMS.logevent_softwareVersions,ts_vms,simonyitel,"[0]"
lsst.sal.OCPS.logevent_softwareVersions,dm_OCPS,uws,"[1,2]"
lsst.sal.PMD.logevent_softwareVersions,ts_pmd,calsys,"[1]"
lsst.sal.Scheduler.logevent_softwareVersions,ts_scheduler,obssys,"[1,2,3]"
lsst.sal.ScriptQueue.logevent_softwareVersions,ts_scriptqueue,obssys,"[1,2,3]"
lsst.sal.TunableLaser.logevent_softwareVersions,ts_tunablelaser,calsys,"[0]"
lsst.sal.Watcher.logevent_softwareVersions,ts_watcher,obssys,"[0]"
lsst.sal.WeatherForecast.logevent_softwareVersions,ts_weatherforecast,envsys,"[0]"